,lon,lat,date,manner_of_death,age,gender,city,state,mental_illness,threat_level,Armed,Race,State
749,-116.2155619,33.7205771,10/14/2015,shot,18,M,Indio,california,FALSE,other,Armed/Undetermined,Hispanic,california
750,-87.3247077,31.5279399,10/14/2015,shot,57,M,Monroeville,alabama,FALSE,attack,Armed/Undetermined,Black,alabama
751,-80.1917902,25.7616798,10/15/2015,shot,15,M,Miami,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
752,-82.9987942,39.9611755,10/15/2015,shot,25,M,Columbus,ohio,FALSE,attack,Armed/Undetermined,Black,ohio
753,-115.1398296,36.1699412,10/15/2015,shot,50,F,Las Vegas,nevada,TRUE,attack,Armed/Undetermined,White,nevada
754,-81.7229086,41.4047742,10/15/2015,shot,31,M,Parma,ohio,FALSE,attack,Armed/Undetermined,White,ohio
755,-122.2087353,47.6814875,10/15/2015,shot,35,M,Kirkland,washington,FALSE,attack,Armed/Undetermined,White,washington
756,-122.4194155,37.7749295,10/15/2015,shot,27,M,San Francisco,california,FALSE,attack,Armed/Undetermined,Hispanic,california
757,-95.3698028,29.7604267,10/15/2015,shot,20,M,Houston,texas,FALSE,attack,Armed/Undetermined,Black,texas
758,-88.4272627,33.4956744,10/16/2015,shot,33,M,Columbus,mississippi,FALSE,undetermined,Armed/Undetermined,Black,mississippi
759,-120.9968782,37.6390972,10/17/2015,shot,22,M,Modesto,california,FALSE,attack,Armed/Undetermined,Hispanic,california
760,-76.727745,39.9625984,10/17/2015,shot and Tasered,28,M,York,pennsylvania,TRUE,other,Armed/Undetermined,Black,pennsylvania
761,-80.1386547,26.8233946,10/18/2015,shot,31,M,Palm Beach Gardens,florida,FALSE,undetermined,Armed/Undetermined,Black,florida
762,-119.7725868,36.7468422,10/18/2015,shot,28,M,Fresno,california,TRUE,attack,Armed/Undetermined,White,california
763,-118.2436849,34.0522342,10/19/2015,shot,53,M,Los Angeles,california,FALSE,attack,Armed/Undetermined,Black,california
764,-85.7584557,38.2526647,10/20/2015,shot,30,M,Louisville,kentucky,FALSE,attack,Armed/Undetermined,White,kentucky
765,-117.1610838,32.715738,10/20/2015,shot,39,M,San Diego,california,FALSE,attack,Armed/Undetermined,Black,california
766,-107.2528069,33.1284047,10/20/2015,shot,40,M,Truth or Consequences,new mexico,FALSE,attack,Armed/Undetermined,Hispanic,new mexico
767,-90.0656311,30.3582506,10/20/2015,shot,30,M,Mandeville,louisiana,FALSE,attack,Armed/Undetermined,White,louisiana
768,-91.6656232,41.9778795,10/20/2015,shot,21,M,Cedar Rapids,iowa,FALSE,attack,Armed/Undetermined,White,iowa
769,-115.4988834,32.6789476,10/21/2015,shot,35,M,Calexico,california,FALSE,other,Armed/Undetermined,Hispanic,california
770,-85.6447492,42.8694731,10/21/2015,shot,47,M,Kentwood,michigan,TRUE,attack,Armed/Undetermined,White,michigan
771,-93.7501789,32.5251516,10/22/2015,shot,38,M,Shreveport,louisiana,FALSE,attack,Armed/Undetermined,Black,louisiana
772,-121.3282843,38.617127,10/22/2015,shot,36,M,Carmichael,california,FALSE,attack,Armed/Undetermined,Black,california
773,-82.8823826,37.2726002,10/22/2015,shot,53,M,Pine Top,kentucky,FALSE,other,Armed/Undetermined,White,kentucky
774,-117.3333772,34.0158479,10/24/2015,shot,34,M,Highgrove,california,FALSE,attack,Armed/Undetermined,Hispanic,california
775,-81.9495331,26.5628537,10/24/2015,shot,NA,M,Cape Coral,florida,FALSE,attack,Armed/Undetermined,Black,florida
776,-116.4668036,33.7805388,10/24/2015,shot,30,M,Cathedral City,california,FALSE,undetermined,Armed/Undetermined,Black,california
777,-82.0131924,39.9403453,10/24/2015,shot,28,M,Zanesville,ohio,TRUE,attack,Armed/Undetermined,White,ohio
778,-88.1050853,42.5775187,10/24/2015,shot,47,M,Paddock Lake,wisconsin,FALSE,attack,Armed/Undetermined,White,wisconsin
779,-151.2583333,60.5544444,10/24/2015,shot,49,M,Kenai Peninsula,alaska,FALSE,attack,Armed/Undetermined,White,alaska
780,-84.5049279,34.5092562,10/25/2015,shot,36,M,Talking Rock,georgia,FALSE,attack,Armed/Undetermined,White,georgia
